# Filename: ILATM2_V01_20130405_152016_smooth_nadir3seg_50pt.csv
# Input filename: ILATM1B_V01_20130405_152016.ATM4BT4.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 130405_aa_l12_cfm_itrf08_27may13_6138_ilul
# International Terrestrial Reference Frame: ITRF08
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
55213.75, 68.862744, 326.409222, 1489.7292, 0.0284711, -0.0001071, 15.45, 544, 2, 57, 1
55213.75, 68.863374, 326.409927, 1491.6288, 0.0311803, -0.0071574, 13.74, 325, 1, -19, 2
55213.75, 68.864004, 326.410631, 1494.1932, 0.0347584, 0.0056566, 28.67, 596, 3, -95, 3
55213.75, 68.863215, 326.409749, 1491.1400, 0.0294651, -0.0074702, 13.90, 343, 4, 0, 0
55214.00, 68.862639, 326.409996, 1489.1636, 0.0284400, -0.0115131, 16.27, 546, 4, 56, 1
55214.00, 68.863271, 326.410701, 1491.0217, 0.0372052, -0.0055769, 20.83, 329, 2, -20, 2
55214.00, 68.863902, 326.411407, 1493.8532, 0.0286492, -0.0125908, 44.55, 601, 0, -96, 3
55214.00, 68.863104, 326.410515, 1490.4255, 0.0326325, -0.0128135, 17.14, 345, 5, 0, 0
55214.25, 68.862532, 326.410766, 1488.3355, 0.0277744, -0.0170835, 13.58, 555, 3, 55, 1
55214.25, 68.863164, 326.411472, 1490.4640, 0.0457866, 0.0021314, 21.90, 321, 1, -21, 2
55214.25, 68.863795, 326.412178, 1493.0828, 0.0207330, -0.0264527, 27.51, 592, 16, -96, 3
55214.25, 68.862992, 326.411280, 1489.6910, 0.0384085, -0.0057962, 20.43, 342, 2, 0, 0
55214.50, 68.862418, 326.411529, 1487.3964, 0.0298249, -0.0209597, 16.51, 558, 2, 56, 1
55214.50, 68.863052, 326.412237, 1489.8430, 0.0471382, -0.0040170, 22.42, 335, 0, -21, 2
55214.50, 68.863686, 326.412945, 1491.9336, 0.0243659, -0.0229661, 15.56, 585, 25, -97, 3
55214.50, 68.862881, 326.412046, 1489.0304, 0.0434984, -0.0032303, 17.87, 356, 0, 0, 0
55214.75, 68.862302, 326.412288, 1486.5612, 0.0350878, -0.0131526, 24.71, 559, 0, 56, 1
55214.75, 68.862939, 326.412999, 1489.0680, 0.0402109, -0.0081813, 20.84, 336, 0, -20, 2
55214.75, 68.863576, 326.413711, 1491.0605, 0.0187517, -0.0198280, 21.44, 603, 9, -97, 3
55214.75, 68.862770, 326.412811, 1488.3759, 0.0390903, -0.0053334, 22.36, 350, 0, 0, 0
55215.00, 68.862184, 326.413044, 1485.8168, 0.0382129, -0.0079441, 15.83, 556, 7, 57, 1
55215.00, 68.862824, 326.413759, 1488.4716, 0.0423757, 0.0048196, 33.62, 330, 0, -20, 2
55215.00, 68.863465, 326.414475, 1490.2629, 0.0123222, -0.0298123, 20.14, 591, 32, -97, 3
55215.00, 68.862659, 326.413575, 1487.7178, 0.0401652, -0.0052790, 29.72, 343, 1, 0, 0
55215.25, 68.862066, 326.413804, 1485.0139, 0.0364002, -0.0104724, 14.50, 561, 3, 58, 1
55215.25, 68.862710, 326.414520, 1488.0509, 0.0482608, 0.0058492, 29.57, 320, 9, -19, 2
55215.25, 68.863353, 326.415236, 1489.1887, 0.0129698, -0.0295555, 19.33, 604, 19, -96, 3
55215.25, 68.862548, 326.414340, 1487.1729, 0.0477189, 0.0051061, 26.47, 346, 0, 0, 0
55215.50, 68.861950, 326.414562, 1484.2046, 0.0412211, -0.0115175, 19.67, 555, 6, 58, 1
55215.50, 68.862595, 326.415280, 1487.2549, 0.0396486, -0.0171476, 31.50, 330, 3, -19, 2
55215.50, 68.863241, 326.415998, 1488.2005, 0.0170547, -0.0190280, 31.48, 600, 16, -96, 3
55215.50, 68.862438, 326.415105, 1486.5788, 0.0467136, -0.0054702, 29.42, 346, 0, 0, 0
55215.75, 68.861836, 326.415325, 1483.5355, 0.0435507, -0.0019399, 16.11, 560, 0, 59, 1
55215.75, 68.862485, 326.416046, 1486.2615, 0.0310113, -0.0188601, 19.43, 339, 1, -19, 2
55215.75, 68.863134, 326.416767, 1487.2269, 0.0247569, -0.0258010, 31.22, 604, 14, -97, 3
55215.75, 68.862327, 326.415870, 1485.7763, 0.0382344, -0.0139323, 18.29, 343, 7, 0, 0
55216.00, 68.861723, 326.416087, 1482.9037, 0.0434074, -0.0034743, 13.49, 559, 0, 59, 1
55216.00, 68.862375, 326.416810, 1485.3322, 0.0241913, -0.0200451, 28.20, 322, 10, -19, 2
55216.00, 68.863027, 326.417533, 1486.0617, 0.0266602, -0.0282624, 27.46, 612, 7, -97, 3
55216.00, 68.862217, 326.416634, 1484.9275, 0.0331698, -0.0125544, 22.20, 333, 8, 0, 0
55216.25, 68.861612, 326.416852, 1482.1973, 0.0446818, -0.0067703, 14.59, 558, 4, 59, 1
55216.25, 68.862267, 326.417578, 1484.2896, 0.0147815, -0.0324240, 41.62, 319, 6, -19, 2
55216.25, 68.862923, 326.418304, 1484.9744, 0.0290332, -0.0172491, 33.58, 604, 11, -98, 3
55216.25, 68.862106, 326.417399, 1484.1625, 0.0322215, -0.0139098, 28.58, 319, 18, 0, 0
55216.50, 68.861503, 326.417618, 1481.3730, 0.0438192, -0.0106200, 19.59, 557, 6, 59, 1
55216.50, 68.862162, 326.418348, 1482.9189, 0.0140896, -0.0463002, 41.09, 331, 9, -20, 2
55216.50, 68.862820, 326.419077, 1483.7791, 0.0324561, -0.0372164, 36.31, 600, 15, -99, 3
55216.50, 68.861996, 326.418164, 1482.8311, 0.0242192, -0.0400384, 50.01, 341, 6, 0, 0
55216.75, 68.861395, 326.418384, 1480.4403, 0.0418308, -0.0144986, 20.92, 534, 28, 59, 1
55216.75, 68.862057, 326.419119, 1481.6138, 0.0071145, -0.0332701, 45.71, 316, 20, -21, 2
55216.75, 68.862720, 326.419853, 1482.3971, 0.0240751, -0.0337543, 29.54, 593, 17, -100, 3
55216.75, 68.861886, 326.418928, 1481.4421, 0.0173015, -0.0358374, 59.28, 323, 14, 0, 0
55217.00, 68.861286, 326.419151, 1479.0843, 0.0348028, -0.0276784, 35.51, 546, 18, 59, 1
55217.00, 68.861952, 326.419889, 1480.4512, 0.0164787, -0.0289469, 48.29, 312, 19, -21, 2
55217.00, 68.862618, 326.420626, 1481.3118, 0.0231238, -0.0233452, 39.60, 602, 8, -101, 3
55217.00, 68.861775, 326.419693, 1480.1699, 0.0236808, -0.0319790, 52.04, 316, 20, 0, 0
55217.25, 68.861180, 326.419920, 1477.7767, 0.0312500, -0.0289006, 24.45, 534, 38, 58, 1
55217.25, 68.861850, 326.420662, 1479.2274, 0.0206866, -0.0320719, 41.80, 339, 6, -22, 2
55217.25, 68.862520, 326.421404, 1480.0054, 0.0300587, -0.0460553, 37.48, 606, 9, -102, 3
55217.25, 68.861665, 326.420458, 1478.9593, 0.0260590, -0.0250301, 34.16, 335, 13, 0, 0
55217.50, 68.861074, 326.420688, 1476.5587, 0.0283004, -0.0247172, 19.38, 550, 25, 58, 1
55217.50, 68.861746, 326.421434, 1478.2283, 0.0154666, -0.0183158, 57.47, 323, 18, -23, 2
55217.50, 68.862418, 326.422180, 1478.6947, 0.0106429, -0.0245567, 41.04, 602, 11, -103, 3
55217.50, 68.861555, 326.421222, 1477.9196, 0.0313483, -0.0216518, 45.64, 325, 18, 0, 0
55217.75, 68.860968, 326.421458, 1475.3402, 0.0326939, -0.0306497, 28.10, 564, 25, 57, 1
55217.75, 68.861645, 326.422208, 1477.6621, 0.0158108, -0.0089366, 65.95, 301, 28, -24, 2
55217.75, 68.862322, 326.422958, 1477.8984, 0.0081897, -0.0168240, 39.52, 570, 36, -105, 3
55217.75, 68.861445, 326.421987, 1477.1495, 0.0391047, -0.0063016, 58.31, 309, 23, 0, 0
55218.00, 68.860836, 326.422199, 1474.1190, 0.0349685, -0.0212250, 26.60, 570, 21, 60, 1
55218.00, 68.861522, 326.422958, 1476.5211, 0.0309418, -0.0429557, 51.55, 310, 22, -22, 2
55218.00, 68.862208, 326.423717, 1476.8217, 0.0170682, -0.0417895, 38.22, 557, 49, -104, 3
55218.00, 68.861335, 326.422751, 1476.0533, 0.0478660, -0.0316672, 52.48, 315, 11, 0, 0
55218.25, 68.860686, 326.422920, 1472.8821, 0.0371077, -0.0226383, 19.96, 551, 33, 65, 1
55218.25, 68.861386, 326.423694, 1474.6905, 0.0353449, -0.0462271, 47.51, 313, 33, -19, 2
55218.25, 68.862086, 326.424469, 1475.3476, 0.0194159, -0.0369858, 37.32, 554, 42, -103, 3
55218.25, 68.861225, 326.423516, 1474.3590, 0.0410549, -0.0467097, 46.01, 293, 35, 0, 0
55218.50, 68.860515, 326.423620, 1471.3475, 0.0346376, -0.0320182, 29.07, 517, 52, 72, 1
55218.50, 68.861231, 326.424409, 1473.1566, 0.0267291, -0.0290423, 76.09, 309, 41, -14, 2
55218.50, 68.861946, 326.425197, 1473.8500, 0.0284722, -0.0391937, 24.14, 564, 34, -99, 3
